dzip,population,case,resident drivers crashing per 10k residents
95377,30902.0,1,0.3236036502491748
95747,51870.0,1,0.192789666473877
95841,19448.0,1,0.5141916906622789
95901,31314.0,1,0.3193459794341189
95948,10810.0,1,0.9250693802035153
95966,30643.0,1,0.3263388049472963
95991,40593.0,1,0.24634789249377972
95993,36067.0,1,0.2772617628302881
96075,369.0,1,27.100271002710027
96701,40281.0,1,0.2482560015888384
96792,48519.0,1,0.20610482491395124
97002,5623.0,1,1.7784101013693758
97006,63036.0,3,0.4759185227489054
97007,66954.0,1,0.14935627445708993
97013,22688.0,1,0.4407616361071932
97019,3161.0,1,3.1635558367605188
97023,9832.0,1,1.017087062652563
97031,18375.0,1,0.54421768707483
97048,6691.0,2,2.9890898221491558
97051,15957.0,1,0.6266842138246538
97055,17350.0,2,1.1527377521613833
97058,19838.0,3,1.512249218671237
97103,16859.0,1,0.5931549913992527
97116,24104.0,1,0.414868901427149
97124,48349.0,1,0.2068295104345488
97132,28278.0,1,0.35363179857132754
97138,10021.0,1,0.9979044007584074
97203,31042.0,1,0.3221441917402229
97206,47596.0,1,0.21010168921758132
97209,14950.0,1,0.6688963210702341
97211,31254.0,1,0.319959045242209
97212,24126.0,1,0.4144905910635829
97213,29219.0,2,0.6844861220438756
97214,23813.0,1,0.4199386889514131
97217,31438.0,1,0.31808639226413893
97236,36852.0,1,0.27135569304244
97267,30839.0,1,0.32426472972534776
97303,38663.0,3,0.7759356490701704
97321,24928.0,1,0.4011553273427471
97322,34039.0,3,0.8813419900702136
97360,2249.0,2,8.89284126278346
97374,5266.0,1,1.89897455374098
97380,2449.0,1,4.083299305839118
97386,13567.0,1,0.7370826269624825
97391,5344.0,1,1.8712574850299402
97401,40521.0,1,0.24678561733422177
97408,11711.0,1,0.853898044573478
97431,2335.0,1,4.282655246252677
97470,19985.0,1,0.5003752814610958
97478,37011.0,1,0.2701899435303018
97624,3500.0,1,2.857142857142857
97739,11018.0,2,1.8152114721365038
97756,33554.0,1,0.2980270608571258
97761,3987.0,1,2.508151492350138
97827,2628.0,1,3.8051750380517504
97838,25346.0,2,0.7890791446382072
97862,11666.0,3,2.5715755186010627
97875,2610.0,1,3.8314176245210727
97885,1383.0,1,7.230657989877079
97886,1140.0,1,8.771929824561404
98001,31911.0,21,6.58080285794867
98002,31647.0,22,6.9516857838025725
98003,44151.0,32,7.247853955742792
98004,27946.0,4,1.4313318542904172
98005,17714.0,3,1.6935757028339167
98006,36364.0,4,1.099989000109999
98007,24889.0,6,2.4107035236449836
98008,24411.0,5,2.0482569333497196
98010,5025.0,4,7.960199004975125
98011,29212.0,6,2.0539504313295907
98012,51136.0,16,3.1289111389236544
98014,6765.0,3,4.434589800443459
98019,10725.0,2,1.8648018648018647
98020,18304.0,3,1.638986013986014
98021,26722.0,5,1.8711174313299903
98022,20987.0,28,13.34159241435174
98023,47510.0,23,4.84108608713955
98024,5650.0,2,3.5398230088495577
98026,35921.0,7,1.948720803986526
98027,26141.0,8,3.060326689874144
98028,20419.0,7,3.4281796366129584
98029,24348.0,6,2.464268112370626
98030,33769.0,22,6.514850898753294
98031,36581.0,17,4.647221235067384
98032,33853.0,22,6.49868549316161
98033,34338.0,9,2.621002970470033
98034,40407.0,13,3.217264335387433
98036,36000.0,6,1.6666666666666667
