"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
8101,4119,3982,10343,865,45,758,62,0,9478,49,16,4,0,0,445,435,10,8964,10343,409,129,11,52,249,10208,10343,9680,49,0,0,0,0,16,0,0,16,0,0,0,0,4,0,0,0,0,0,66,9545,9680,663,0,360,61,7,663,10343,715,568,8455,8221,4178,4043,96.8,8221,455,7887,1074,1156,1460,577,675,1089,2690,1321,2032,1014,1018,100.4,2032,584,127,5431,4912,45.5,90.4,2122,542,4845,98541
623,268,355,669,6,0,6,0,0,663,0,0,0,0,0,0,0,0,663,669,0,0,0,0,0,669,669,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,669,0,0,0,0,0,0,669,33,36,636,623,268,355,132.5,623,118,600,12,53,163,0,21,64,203,78,169,56,113,201.8,169,66,25,275,394,50.1,143.3,46,0,210,98542
24,16,8,55,14,0,0,0,14,41,0,0,0,0,0,0,0,0,41,55,0,0,0,0,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,55,8,23,47,24,16,8,50,24,0,24,0,10,8,0,0,0,6,0,6,6,0,-,6,6,0,30,25,16.8,83.3,31,0,39,98544
2478,1121,1357,2920,223,17,134,53,19,2697,0,19,0,0,0,73,61,12,2605,2920,34,62,0,0,201,2820,2920,2723,0,0,0,0,0,19,0,0,14,0,0,5,0,0,0,0,0,0,0,65,2639,2723,197,0,18,43,0,197,2920,200,149,2521,2494,1137,1357,119.3,2494,80,2411,403,166,372,79,210,372,995,508,808,311,497,159.8,808,241,59,1399,1521,50.9,108.7,426,81,2206,98546
1176,586,590,1317,185,0,146,39,0,1132,0,0,0,0,0,0,0,0,1132,1317,0,0,0,0,0,1317,1317,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,1317,0,0,0,0,0,0,1317,9,0,1176,1176,586,590,100.7,1176,159,1176,117,66,70,0,96,171,668,320,497,203,294,144.8,497,147,30,628,689,62.1,109.7,141,132,1382,98547
2028,1092,936,2197,108,0,102,6,0,2089,3,0,0,0,0,137,118,19,1949,2197,121,0,14,0,121,2092,2197,2060,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1955,2060,137,0,104,0,0,137,2197,85,15,2049,2039,1103,936,84.9,2039,34,2015,132,232,166,49,162,116,1215,680,1192,508,684,134.6,1192,411,101,1177,1020,66.9,86.7,158,14,2219,98548
8927,4363,4564,11691,857,49,658,147,3,10834,443,184,85,12,0,518,312,206,9592,11691,738,326,91,12,349,10793,11691,11073,461,0,0,0,0,184,7,97,73,7,0,0,0,85,12,12,0,0,0,134,10197,11073,618,1,276,121,5,618,11691,778,736,9595,9268,4486,4782,106.6,9268,802,8954,1296,1402,1287,621,637,932,3398,1816,2686,1309,1377,105.2,2686,634,236,5633,6058,43.2,107.5,2423,514,5393,98550
160,64,96,240,21,0,20,0,1,219,11,0,0,0,5,22,22,0,181,240,33,0,0,0,5,224,240,218,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,202,218,22,0,22,0,0,22,240,40,5,170,170,67,103,153.7,170,10,170,34,14,4,7,34,12,71,43,62,4,58,1450,62,17,2,107,133,37.9,124.3,70,18,93,98552
350,194,156,350,0,0,0,0,0,350,0,19,0,0,0,37,37,0,294,350,37,19,37,0,0,331,350,313,0,0,0,0,0,19,0,0,0,10,0,9,0,0,0,0,0,0,0,0,294,313,37,0,0,0,0,37,350,0,0,350,350,194,156,80.4,350,0,350,0,0,0,0,57,37,256,146,256,137,119,86.9,256,100,10,194,156,70.5,80.4,0,0,1022,98555
592,0,592,592,21,0,21,0,0,571,15,27,120,10,0,93,93,0,306,592,84,37,144,20,11,410,592,478,15,0,0,0,0,27,0,0,17,0,0,0,10,120,10,0,10,0,0,0,306,478,114,0,69,0,24,114,592,0,9,592,592,0,592,-,592,55,566,242,236,33,0,17,0,0,0,0,0,0,-,0,0,0,0,592,34.8,-,0,0,0,98556
2804,1415,1389,3650,221,0,221,0,0,3429,65,85,37,0,0,105,96,9,3137,3650,130,103,78,0,39,3454,3650,3514,65,0,0,0,0,85,0,24,0,2,13,46,0,37,0,0,0,0,0,9,3318,3514,136,0,47,18,23,136,3650,265,95,2893,2859,1435,1424,99.2,2859,109,2781,495,483,485,290,249,228,874,455,764,390,374,95.9,764,227,82,1891,1759,42.3,93,791,187,1529,98557
50,12,38,51,0,0,0,0,0,51,0,0,10,0,0,1,1,0,40,51,1,0,10,0,0,41,51,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,40,50,1,0,1,0,0,1,51,0,0,51,51,13,38,292.3,51,0,51,0,1,4,0,2,11,33,12,33,11,22,200,33,1,20,13,38,68.6,292.3,0,0,0,98558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,98559
80,29,51,98,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,98,0,0,80,80,29,51,175.9,80,0,80,12,30,8,13,13,3,14,10,14,4,10,250,14,4,0,34,64,37.6,188.2,18,5,64,98560
43,0,43,43,0,0,0,0,0,43,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,43,0,0,43,43,0,43,-,43,0,43,43,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,43,-,-,0,0,205,98562
5849,3039,2810,7636,251,0,161,73,17,7385,29,124,1,0,0,266,235,31,6965,7636,234,160,1,0,92,7452,7636,7333,29,0,0,0,29,130,0,0,8,0,122,0,0,1,0,0,0,0,0,24,7149,7333,303,0,205,30,0,303,7636,432,520,6101,5909,3063,2846,92.9,5909,227,5710,885,707,804,480,637,355,2326,1148,2156,1116,1040,93.2,2156,794,214,3907,3729,46.1,95.4,1727,433,3411,98563
1905,1049,856,2684,518,63,388,67,0,2166,17,0,0,0,0,224,224,0,1925,2684,143,126,110,0,335,2381,2684,2340,17,0,5,4,3,0,0,0,0,0,0,0,0,63,0,0,0,0,0,223,2037,2340,344,0,126,59,47,344,2684,145,182,2187,2086,1114,972,87.3,2086,109,1971,289,283,204,156,287,208,782,339,671,341,330,96.8,671,288,44,1349,1335,45.8,99,598,150,1388,98564
201,110,91,303,0,0,0,0,0,303,10,1,0,0,0,19,19,0,273,303,29,2,0,0,0,291,303,284,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,273,284,19,0,18,0,0,19,303,36,9,207,202,111,91,82,202,27,198,74,33,44,15,0,5,20,2,15,13,2,15.4,15,13,0,165,138,26.5,83.6,101,45,101,98565
210,100,110,302,55,0,55,0,0,247,1,0,0,0,0,9,9,0,237,302,10,0,0,0,22,279,302,293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,270,293,9,0,9,0,0,9,302,22,0,232,232,100,132,132,232,11,221,48,51,8,36,8,18,88,57,88,42,46,109.5,88,5,26,132,170,38.7,128.8,70,12,118,98566
2123,1124,999,2549,138,0,128,3,7,2411,380,21,7,22,0,91,72,19,1890,2549,466,36,18,38,100,2061,2549,2391,399,0,0,0,0,21,0,10,0,11,0,0,0,7,22,0,9,5,8,26,1916,2391,158,1,64,0,3,158,2549,143,124,2208,2149,1148,1001,87.2,2149,119,2097,284,234,343,74,275,357,760,323,506,249,257,103.2,506,101,82,1358,1191,52.1,87.7,400,90,1186,98568
6260,3236,3024,6826,238,0,102,48,88,6588,130,202,2,13,18,470,441,29,5753,6826,463,310,2,13,140,6387,6826,6337,130,0,0,0,15,202,0,0,139,12,51,0,0,2,13,0,0,0,13,92,5898,6337,489,0,333,108,0,489,6826,183,175,6372,6332,3296,3036,92.1,6332,0,6250,394,483,884,162,426,1327,3546,1944,2736,1459,1277,87.5,2736,618,174,3523,3303,62.9,93.8,494,56,5546,98569
3464,1880,1584,4674,589,0,531,31,27,4085,73,13,1,0,0,166,158,8,3832,4674,261,13,8,0,494,4545,4674,4034,103,0,0,0,0,13,0,0,0,0,0,0,13,1,0,0,0,0,0,12,3905,4034,640,0,151,0,0,640,4674,274,292,3719,3622,1984,1638,82.6,3622,107,3468,571,636,450,304,355,387,1146,648,962,459,503,109.6,962,284,30,2561,2113,42.7,82.5,1052,336,1954,98570
77,77,0,77,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,77,0,0,77,77,77,0,-,77,0,77,0,0,0,0,0,77,0,0,0,0,0,-,0,0,0,77,0,-,-,0,0,392,98571
659,263,396,884,55,6,28,15,6,829,0,0,0,0,0,84,74,10,745,884,67,25,3,14,13,864,884,785,0,0,0,0,0,6,6,0,0,0,0,0,0,0,11,0,5,0,6,3,765,785,99,0,64,19,0,99,884,42,79,713,673,268,405,151.1,673,54,641,99,115,99,52,77,41,202,139,173,74,99,133.8,173,19,15,380,504,38.8,132.6,211,53,374,98572
108,60,48,117,3,0,3,0,0,114,0,5,0,0,16,0,0,0,93,117,0,5,0,0,19,93,117,117,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,19,93,117,0,0,0,0,0,0,117,5,1,112,111,60,51,85,111,1,110,17,0,12,0,21,27,43,19,33,7,26,371.4,33,10,4,60,57,60.2,95,6,0,159,98575
3884,1969,1915,5277,297,0,243,54,0,4980,52,49,17,32,15,157,151,6,4658,5277,140,142,26,37,99,5103,5277,5028,52,0,0,0,12,51,0,0,5,18,19,9,0,17,32,0,32,0,0,22,4854,5028,249,0,67,78,6,249,5277,360,338,4259,4008,2028,1980,97.6,4008,110,3915,736,609,786,378,411,449,1054,619,846,475,371,78.1,846,174,53,2717,2560,42.4,94.2,1269,254,2024,98576
5280,2795,2485,7121,761,0,747,14,0,6360,262,183,37,28,112,419,323,96,5319,7121,347,289,171,79,581,6145,7121,6645,300,0,0,0,0,183,0,0,5,23,0,155,0,37,28,0,7,21,0,428,5669,6645,476,0,47,91,134,476,7121,466,447,5743,5553,2920,2633,90.2,5553,195,5372,707,892,787,467,517,581,2069,894,1708,893,815,91.3,1708,537,277,3641,3480,45.3,95.6,1568,354,3119,98577
9991,4848,5143,13440,1652,0,1380,122,150,11788,288,97,43,0,99,692,588,104,10569,13440,517,310,304,13,1194,12688,13440,11939,288,31,0,0,0,97,0,53,35,9,0,0,0,43,0,0,0,0,0,283,11228,11939,1501,0,129,144,217,1501,13440,723,828,10903,10430,5150,5280,102.5,10430,518,10001,1510,1955,2011,625,689,1243,3011,1336,2232,1155,1077,93.2,2232,872,24,6788,6652,41.5,98,3010,1106,5212,98579
8762,4267,4495,11358,798,0,547,191,60,10560,22,120,241,0,284,561,508,53,9332,11358,301,275,400,0,653,10494,11358,10595,51,0,0,0,0,120,0,41,38,9,1,0,31,241,0,0,0,0,0,432,9751,10595,763,0,248,135,139,763,11358,1089,525,9052,8822,4288,4534,105.7,8822,779,8294,903,1413,1684,610,1101,1011,2170,1145,1686,765,921,120.4,1686,328,213,5380,5978,43.5,111.1,2536,557,4671,98580
402,238,164,402,17,0,0,0,17,385,0,0,0,0,0,2,2,0,383,402,2,0,0,0,17,385,402,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,383,400,2,0,2,0,0,2,402,0,0,402,402,238,164,68.9,402,0,402,0,0,15,0,16,0,371,194,371,228,143,62.7,371,130,47,238,164,72.9,68.9,0,0,246,98581
156,80,76,177,0,0,0,0,0,177,0,0,0,0,0,0,0,0,177,177,0,0,0,0,0,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177,0,0,0,0,0,0,177,10,9,156,156,80,76,95,156,0,147,0,41,45,11,13,0,48,48,48,43,5,11.6,48,0,0,101,76,47.8,75.2,21,0,146,98582
105,59,46,120,0,0,0,0,0,120,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,120,11,4,105,105,59,46,78,105,17,88,3,27,8,0,16,3,30,0,27,16,11,68.8,27,27,0,70,50,43.6,71.4,15,4,42,98583
27748,13517,14231,37360,4644,13,2392,2086,153,32716,764,238,204,197,297,2930,2844,86,28086,37360,2885,755,943,531,3351,33050,37360,33539,1013,0,27,0,58,238,0,65,34,17,78,16,28,204,197,35,31,0,131,2474,29413,33539,3821,15,1440,396,578,3821,37360,2087,2222,30491,29537,14134,15403,109,29537,2248,28112,4040,5007,3860,2230,2918,2904,9326,4666,7644,4309,3335,77.4,7644,2121,857,17935,19425,41.3,108.3,7823,2200,16398,98584
534,349,185,610,20,0,0,0,20,590,0,0,0,0,0,9,9,0,581,610,9,0,0,0,20,610,610,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,581,29,0,9,0,0,29,610,76,0,534,534,349,185,53,534,0,534,16,75,107,0,52,58,250,126,226,174,52,29.9,226,89,11,379,231,56.3,60.9,76,0,350,98585
1408,608,800,1863,345,0,345,0,0,1518,16,81,61,0,5,210,195,15,1145,1863,188,116,70,0,288,1426,1863,1638,16,0,0,0,0,81,0,0,0,0,6,75,0,61,0,0,0,0,0,273,1207,1638,225,6,166,35,3,225,1863,106,147,1587,1539,683,856,125.3,1539,91,1468,162,295,158,44,153,172,545,301,437,226,211,93.4,437,104,32,851,1012,44.3,118.9,324,98,882,98586
630,290,340,810,43,0,34,8,1,767,631,0,0,12,0,41,41,0,83,810,701,0,8,17,13,122,810,766,657,0,0,9,7,0,0,0,0,0,0,0,0,0,12,4,8,0,0,10,87,766,44,1,28,0,0,44,810,65,64,667,635,290,345,119,635,68,593,83,72,77,24,23,39,276,211,247,136,111,81.6,247,26,10,366,444,41.8,121.3,175,48,334,98587
1399,623,776,1490,37,0,0,37,0,1453,0,7,34,0,0,81,64,17,1331,1490,38,33,34,14,17,1449,1490,1395,0,0,0,0,0,7,0,0,7,0,0,0,0,34,0,0,0,0,0,0,1354,1395,95,0,38,26,0,95,1490,0,0,1442,1442,666,776,116.5,1442,66,1415,124,122,130,0,209,346,554,401,445,238,207,87,445,31,13,676,814,60.9,120.4,48,48,1340,98588
5973,3099,2874,7699,229,0,159,70,0,7470,77,69,188,0,25,513,486,27,6598,7699,282,197,341,24,162,7309,7699,7091,77,0,0,0,28,69,52,0,6,0,11,0,0,188,0,0,0,0,0,40,6717,7091,608,0,197,112,146,608,7699,504,506,6275,6163,3182,2981,93.7,6163,521,5841,696,1069,1217,343,664,390,1594,1005,1377,672,705,104.9,1377,273,99,3897,3802,42.7,97.6,1536,412,3145,98589
443,209,234,539,7,0,7,0,0,532,147,0,0,0,0,0,0,0,385,539,147,0,0,0,7,385,539,539,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,385,539,0,0,0,0,0,0,539,46,10,453,447,209,238,113.9,447,18,429,8,107,102,39,129,15,78,53,65,48,17,35.4,65,2,10,236,303,50.2,128.4,92,0,353,98590
3080,1476,1604,3582,43,0,20,23,0,3539,15,44,9,0,0,156,156,0,3315,3582,145,44,35,0,6,3514,3582,3420,15,0,0,0,0,44,0,0,0,44,0,0,0,9,0,0,0,0,0,0,3352,3420,162,0,130,0,26,162,3582,84,174,3163,3088,1484,1604,108.1,3088,115,2981,420,379,535,93,193,427,1242,510,953,480,473,98.5,953,366,77,1791,1791,51.7,100,494,209,1634,98591
1365,754,611,1543,0,0,0,0,0,1543,108,0,0,0,0,135,135,0,1300,1543,203,40,0,0,0,1435,1543,1408,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1408,135,0,95,40,0,135,1543,120,38,1389,1365,754,611,81,1365,32,1333,153,102,178,0,148,135,680,365,617,363,254,70,617,197,55,842,701,59.7,83.3,178,20,1084,98592
991,467,524,1247,233,4,180,49,0,1014,9,0,13,19,0,28,28,0,945,1247,21,13,13,22,207,1064,1247,1154,9,0,0,0,0,0,0,0,0,0,0,0,0,13,19,19,0,0,0,142,971,1154,93,0,12,13,0,93,1247,62,58,1044,1012,488,524,107.4,1012,92,968,130,102,96,37,123,111,428,199,334,148,186,125.7,334,128,7,565,682,49.5,120.7,235,102,510,98593
2269,1180,1089,2698,184,0,116,68,0,2514,0,25,8,0,0,32,32,0,2449,2698,16,25,24,0,81,2584,2698,2666,0,0,0,0,0,25,10,0,0,0,15,0,0,8,0,0,0,0,0,81,2552,2666,32,0,16,0,16,32,2698,113,97,2336,2323,1191,1132,95,2323,160,2274,423,175,281,125,171,351,911,545,714,352,362,102.8,714,109,60,1410,1288,53.6,91.3,375,88,2096,98595
5619,2715,2904,7856,883,27,736,97,23,6973,34,138,2,18,26,503,432,71,6252,7856,462,219,125,100,535,7318,7856,7052,138,0,0,74,0,161,1,61,32,30,14,0,23,2,36,36,0,0,0,200,6515,7052,804,1,273,40,45,804,7856,539,448,6174,5901,2900,3001,103.5,5901,436,5675,739,1023,940,581,659,610,1766,928,1358,591,767,129.8,1358,371,59,3786,4070,41.2,107.5,1955,523,2683,98596
18889,8926,9963,26222,2416,34,1817,389,176,23806,295,523,431,622,0,1738,1721,17,20197,26222,1073,1194,849,860,990,23720,26222,23995,320,16,15,0,84,523,0,0,180,64,109,93,77,431,622,68,185,80,289,484,21615,23995,2227,66,535,572,242,2227,26222,1710,1742,20665,19754,9475,10279,108.5,19754,1819,19019,3640,3644,3728,1810,1942,1354,3989,2226,3166,1677,1489,88.8,3166,710,230,12723,13499,36.7,106.1,6468,1667,10034,98597
2149,1066,1083,3237,188,0,158,30,0,3049,17,0,0,0,0,94,94,0,2938,3237,58,53,0,0,158,3062,3237,3143,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2968,3143,94,0,41,53,0,94,3237,334,126,2331,2246,1152,1094,95,2246,166,2192,394,364,330,334,181,162,720,384,618,349,269,77.1,618,180,54,1636,1601,36,97.9,991,228,1236,98601
126,70,56,126,0,0,0,0,0,126,0,0,0,0,0,24,24,0,102,126,0,0,24,0,0,126,126,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,24,0,0,0,24,24,126,0,0,126,126,70,56,80,126,0,126,0,0,24,0,0,63,85,3,39,0,39,-,39,36,0,70,56,64.4,80,0,0,125,98602
946,546,400,1307,151,0,151,0,0,1156,62,0,0,0,0,46,30,16,1048,1307,92,0,0,0,122,1245,1307,1155,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,1155,152,0,30,0,0,152,1307,14,21,946,946,546,400,73.3,946,26,912,240,45,159,202,82,85,350,204,288,145,143,98.6,288,72,12,749,558,40.6,74.5,361,145,770,98603
26970,13940,13030,37041,2266,10,1675,390,191,34775,150,496,59,3,69,1104,913,191,32894,37041,514,995,266,87,936,35941,37041,35348,153,12,27,9,3,496,32,38,125,55,34,106,106,174,3,0,3,0,0,183,34339,35348,1693,18,316,469,72,1693,37041,2909,2863,28764,27611,14316,13295,92.9,27611,2398,26156,3903,4870,4570,2181,2738,2335,7226,3709,5809,2985,2824,94.6,5809,1710,390,18980,18061,38.5,95.2,9430,2465,13205,98604
868,431,437,1245,308,0,305,3,0,937,11,9,0,1,0,31,15,16,885,1245,14,19,3,6,70,1190,1245,1193,11,0,0,0,0,9,6,0,1,0,2,0,0,0,1,0,0,1,0,33,1139,1193,52,0,0,7,0,52,1245,64,110,1044,991,500,491,98.2,991,70,960,133,192,179,51,78,111,242,131,197,113,84,74.3,197,48,18,612,633,42.4,103.4,254,60,564,98605
7225,3812,3413,9551,329,0,90,239,0,9222,14,166,3,0,20,330,218,112,8689,9551,95,226,41,61,189,9313,9551,9177,25,6,0,0,0,166,5,12,94,0,0,11,44,3,0,0,0,0,0,44,8939,9177,374,0,70,60,38,374,9551,630,676,7621,7332,3850,3482,90.4,7332,426,6971,684,888,1190,694,845,955,2666,1435,2114,1142,972,85.1,2114,519,160,4939,4612,48.8,93.4,2219,449,3484,98606
24116,12362,11754,34674,1356,6,685,483,182,33318,223,3407,666,62,184,2273,1980,293,26503,34674,790,4559,1311,400,1059,29699,34674,31682,277,48,0,0,0,3407,967,1268,165,198,237,216,356,694,62,0,15,47,0,271,26971,31682,2992,48,373,965,390,2992,34674,3070,2916,26810,25411,13109,12302,93.8,25411,1166,24260,3254,4859,5787,2513,2525,2064,6090,3413,4928,2684,2244,83.6,4928,1134,381,17632,17042,41.6,96.7,9263,1592,12438,98607
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,98609
2389,1158,1231,2932,131,0,124,7,0,2801,138,22,3,0,0,66,49,17,2572,2932,187,22,3,4,21,2765,2932,2866,138,15,0,0,0,22,0,0,0,22,0,0,0,3,0,0,0,0,0,4,2699,2866,66,0,45,0,0,66,2932,169,98,2448,2419,1184,1235,104.3,2419,104,2379,440,258,342,109,293,280,848,374,662,354,308,87,662,141,147,1502,1430,46.7,95.2,513,177,1369,98610
7293,3900,3393,9478,236,0,127,43,66,9242,212,29,33,70,47,537,334,203,8314,9478,477,42,130,89,320,9005,9478,8893,239,13,0,0,11,29,0,5,0,0,0,24,0,46,89,79,0,0,10,70,8420,8893,585,0,238,13,84,585,9478,615,378,7465,7315,3905,3410,87.3,7315,439,7039,1310,996,1182,555,654,565,2454,1289,2048,969,1079,111.4,2048,648,111,5003,4475,42.1,89.4,2163,736,3487,98611
2579,1364,1215,3209,347,74,119,154,0,2862,5,53,32,0,48,116,74,42,2608,3209,84,76,32,19,240,2921,3209,3065,5,0,0,0,0,53,0,1,13,16,23,0,0,32,0,0,0,0,0,198,2777,3065,144,0,79,4,0,144,3209,128,226,2747,2670,1377,1293,93.9,2670,109,2543,156,339,272,193,201,427,1237,686,1044,528,516,97.7,1044,280,78,1676,1533,57,91.5,539,114,1477,98612
